Datum,Energietraeger,Produktion_GWh
2014-06-08,Flusskraft,68.5
2014-06-08,Kernkraft,57.4
2014-06-08,Speicherkraft,40.9
2014-06-08,Thermische,9.5
2014-06-09,Flusskraft,76.6
2014-06-09,Kernkraft,53.4
2014-06-09,Speicherkraft,40.1
2014-06-09,Thermische,9.5
2014-06-10,Flusskraft,83.9
2014-06-10,Kernkraft,53.6
2014-06-10,Speicherkraft,74.1
2014-06-10,Thermische,9.5
2014-06-11,Flusskraft,80.8
2014-06-11,Kernkraft,54.1
2014-06-11,Speicherkraft,69.3
2014-06-11,Thermische,9.5
2014-06-12,Flusskraft,81.3
2014-06-12,Kernkraft,52.9
2014-06-12,Speicherkraft,65.2
2014-06-12,Thermische,9.5
2014-06-13,Flusskraft,80.9
2014-06-13,Kernkraft,54.0
2014-06-13,Speicherkraft,58.0
2014-06-13,Thermische,9.5
2014-06-14,Flusskraft,77.1
2014-06-14,Kernkraft,54.7
2014-06-14,Speicherkraft,54.7
2014-06-14,Thermische,9.5
2014-06-15,Flusskraft,65.9
2014-06-15,Kernkraft,54.7
2014-06-15,Speicherkraft,50.2
2014-06-15,Thermische,9.5
2014-06-16,Flusskraft,61.9
2014-06-16,Kernkraft,53.1
2014-06-16,Speicherkraft,71.5
2014-06-16,Thermische,9.5
2014-06-17,Flusskraft,62.5
2014-06-17,Kernkraft,46.0
2014-06-17,Speicherkraft,82.4
2014-06-17,Thermische,9.5
2014-06-18,Flusskraft,55.3
2014-06-18,Kernkraft,45.9
2014-06-18,Speicherkraft,69.2
2014-06-18,Thermische,9.5
2014-06-19,Flusskraft,51.1
2014-06-19,Kernkraft,46.8
2014-06-19,Speicherkraft,69.4
2014-06-19,Thermische,9.5
2014-06-20,Flusskraft,51.3
2014-06-20,Kernkraft,45.9
2014-06-20,Speicherkraft,65.7
2014-06-20,Thermische,9.5
2014-06-21,Flusskraft,50.3
2014-06-21,Kernkraft,45.8
2014-06-21,Speicherkraft,52.9
2014-06-21,Thermische,9.5
2014-06-22,Flusskraft,52.2
2014-06-22,Kernkraft,45.7
2014-06-22,Speicherkraft,42.8
2014-06-22,Thermische,9.5
2014-06-23,Flusskraft,63.8
2014-06-23,Kernkraft,45.8
2014-06-23,Speicherkraft,71.8
2014-06-23,Thermische,9.5
2015-09-14,Flusskraft,62.5
2015-09-14,Kernkraft,32.5
2015-09-14,Photovoltaik,2.6
2015-09-14,Speicherkraft,42.1
2015-09-14,Thermische,9.4
2015-09-14,Wind,0.2
2015-09-15,Flusskraft,58.6
2015-09-15,Kernkraft,32.6
2015-09-15,Photovoltaik,1.5
2015-09-15,Speicherkraft,53.7
2015-09-15,Thermische,9.4
2015-09-15,Wind,0.2
2015-09-16,Flusskraft,63.8
2015-09-16,Kernkraft,32.5
2015-09-16,Photovoltaik,2.3
2015-09-16,Speicherkraft,54.9
2015-09-16,Thermische,9.4
2015-09-16,Wind,0.2
2015-09-17,Flusskraft,75.8
2015-09-17,Kernkraft,40.4
2015-09-17,Photovoltaik,1.0
2015-09-17,Speicherkraft,49.9
2015-09-17,Thermische,9.4
2015-09-17,Wind,0.2
2015-09-18,Flusskraft,67.7
2015-09-18,Kernkraft,57.0
2015-09-18,Photovoltaik,2.1
2015-09-18,Speicherkraft,61.2
2015-09-18,Thermische,9.4
2015-09-18,Wind,0.1
2015-09-19,Flusskraft,48.8
2015-09-19,Kernkraft,58.0
2015-09-19,Photovoltaik,2.4
2015-09-19,Speicherkraft,64.2
2015-09-19,Thermische,9.4
2015-09-19,Wind,0.1
2015-09-20,Flusskraft,42.3
2015-09-20,Kernkraft,61.3
2015-09-20,Photovoltaik,2.8
2015-09-20,Speicherkraft,57.2
2015-09-20,Thermische,9.4
2015-09-20,Wind,0.2
2015-09-21,Flusskraft,41.6
2015-09-21,Kernkraft,61.4
2015-09-21,Photovoltaik,3.9
2015-09-21,Speicherkraft,82.7
2015-09-21,Thermische,9.4
2015-09-21,Wind,0.1
2015-09-22,Flusskraft,42.4
2015-09-22,Kernkraft,61.6
2015-09-22,Photovoltaik,1.9
2015-09-22,Speicherkraft,76.9
2015-09-22,Thermische,9.4
2015-09-22,Wind,0.3
2015-09-23,Flusskraft,61.3
2015-09-23,Kernkraft,61.7
2015-09-23,Photovoltaik,1.2
2015-09-23,Speicherkraft,89.4
2015-09-23,Thermische,9.4
2015-09-23,Wind,0.2
2015-09-24,Flusskraft,46.1
2015-09-24,Kernkraft,61.6
2015-09-24,Photovoltaik,3.1
2015-09-24,Speicherkraft,71.9
2015-09-24,Thermische,9.4
2015-09-24,Wind,0.1
2015-09-25,Flusskraft,39.5
2015-09-25,Kernkraft,61.5
2015-09-25,Photovoltaik,3.3
2015-09-25,Speicherkraft,83.1
2015-09-25,Thermische,9.4
2015-09-25,Wind,0.2
2015-09-26,Flusskraft,34.2
2015-09-26,Kernkraft,61.6
2015-09-26,Photovoltaik,2.9
2015-09-26,Speicherkraft,48.9
2015-09-26,Thermische,9.4
2015-09-26,Wind,0.2
2015-09-27,Flusskraft,32.1
2015-09-27,Kernkraft,50.9
2015-09-27,Photovoltaik,2.4
2015-09-27,Speicherkraft,45.0
2015-09-27,Thermische,9.4
2015-09-27,Wind,0.3
2015-09-28,Flusskraft,33.6
2015-09-28,Kernkraft,32.7
2015-09-28,Photovoltaik,3.6
2015-09-28,Speicherkraft,84.3
